GENDER,REFERRING_PROVIDER_REGION,DISEASE_CODE,RECEIVING_PROVIDER_REGION,AGE_GROUP,TOTAL_REFERRALS
M,Medinah,J18.0,Medinah,30-39,1
M,Riyadh,R57.2,Riyadh,70-79,1
M,Jeddah,A16.8,Makkah,00-17,1
M,Riyadh,P59.9,Riyadh,60-69,31
F,Riyadh,T21.03,Riyadh,00-17,32
M,Asir,I61.9,Assir,70-79,6
M,Najran,R60.0,Najran,00-17,3
M,Medinah,A41.9,Medinah,00-17,5
M,Asir,A41.9,Assir,80+,25
F,Jeddah,P22.8,Jeddah,18-29,21
M,Jeddah,Z50.9,Jeddah,30-39,1
M,Makkah,C85.1,Jeddah,70-79,1
F,Qassim,J21.9,Qassim,00-17,2
M,Najran,G91.9,Najran,00-17,3
M,Qurayyat,J18.0,Riyadh,00-17,32
F,Medinah,R57.0,Medina,80+,6
M,Medinah,G41.8,Medina,00-17,6
F,Makkah,J45.9,Makkah,80+,6
F,Asir,O42.9,Assir,40-49,6
M,Riyadh,Q90.9,Riyadh,30-39,30
M,Riyadh,K81.8,Riyadh,40-49,32
M,Jazan,S42.21,Jazan,40-49,2
F,Riyadh,K59.1,Riyadh,00-17,33
F,Riyadh,I21.9,Riyadh,80+,31
F,Jeddah,A48.0,Makkah,50-59,1
M,Jeddah,J96.00,Jeddah,70-79,1
M,Asir,S83.10,Assir,50-59,3
M,Asir,U86.2,Assir,80+,1
M,Qassim,G61.0,Qassim,18-29,2
M,Jeddah,R04.0,Jeddah,00-17,20
F,Jeddah,O42.2,Makkah,18-29,2
F,Eastern Region,G41.8,East,60-69,17
F,Makkah,K76.9,Makkah,60-69,6
M,Northern Borders,Z50.9,Riyadh,40-49,3
F,Jazan,I26.9,Jazan,40-49,2
M,Jazan,M48.40,Jazan,30-39,2
M,Jeddah,M47.00,Makkah,40-49,1
M,Taif,S62.21,Jeddah,50-59,22
M,Riyadh,T91.3,Riyadh,30-39,1
M,Medinah,R05,Medinah,00-17,3
M,Taif,V99,Makkah,00-17,1
F,Qassim,J96.09,Qassim,80+,5
M,Qassim,I47.2,Qassim,60-69,3
F,Qassim,R57.2,Qassim,50-59,2
F,Jeddah,J21.9,Jeddah,00-17,99
F,Makkah,G41.8,Makkah,80+,6
M,Medinah,I74.8,Medina,60-69,6
M,Eastern Region,I64,East,40-49,18
F,Makkah,K85.9,Makkah,70-79,6
F,Jeddah,P59.8,Jeddah,18-29,19
M,Qassim,U82.3,Qassim,80+,2
M,Jeddah,N11.1,Jeddah,40-49,41
F,Eastern Region,I50.9,East,80+,17
M,Eastern Region,I24.9,East,00-17,18
M,Eastern Region,I64,East,30-39,18
M,Jeddah,E10.11,Makkah,30-39,2
M,Medinah,I24.9,Medina,80+,1
M,Asir,N18.9,Assir,70-79,2
F,Jeddah,K56.3,Jeddah,18-29,20
M,Najran,M02.17,Najran,30-39,2
M,Riyadh,R62.0,Riyadh,00-17,1
F,Riyadh,S06.03,Riyadh,40-49,1
M,Jeddah,G46.4,Makkah,70-79,1
F,Qassim,V99,Qassim,50-59,2
M,Qassim,F10.0,Qassim,40-49,1
F,Makkah,O00.0,Makkah,18-29,6
F,Qunfotha,O00.0,Jeddah,18-29,22
F,Qassim,I64,Qassim,50-59,14
M,Jeddah,J20.9,Makkah,00-17,5
M,Jeddah,J45.9,Jeddah,70-79,19
M,Eastern Region,R05,East,50-59,34
F,Jeddah,R05,Jeddah,40-49,82
M,Jazan,I62.0,Assir,60-69,6
F,Jeddah,E10.15,Jeddah,00-17,43
M,Jeddah,S06.4,Jeddah,00-17,20
M,Jeddah,E11.11,Jeddah,50-59,67
F,Riyadh,N18.5,Riyadh,50-59,31
F,Riyadh,F03,Riyadh,80+,4
M,Riyadh,Q21.29,Riyadh,00-17,32
M,Jouf,R56.8,Riyadh,00-17,31
F,Asir,E11.65,Assir,18-29,5
M,Riyadh,H43.8,Riyadh,40-49,31
F,Riyadh,R10.0,Riyadh,80+,60
M,Jeddah,A48.0,Jeddah,60-69,20
M,Qunfotha,I50.0,Makkah,50-59,6
M,Riyadh,J18.8,Riyadh,80+,32
M,Qassim,V99,Qassim,30-39,2
F,Riyadh,O60.0,Riyadh,30-39,32
M,Riyadh,A41.9,Riyadh,50-59,34
M,Riyadh,A78,Riyadh,30-39,33
F,Najran,R06.6,Najran,00-17,6
M,Medinah,A41.9,Medina,00-17,90
M,Riyadh,U80.3,Riyadh,00-17,65
M,Medinah,U82.3,Medina,80+,7
M,Makkah,G41.9,Makkah,60-69,6
F,Jeddah,R57.9,Jeddah,70-79,20
F,Jeddah,O00.0,Jeddah,00-17,214
M,Qassim,I24.9,Qassim,60-69,9
M,Outside-KSA,J18.9,Jazan,50-59,2
F,Tabuk,P07.31,Makkah,00-17,1
M,Jeddah,Q30.3,Makkah,30-39,1
F,Jeddah,I64,Jeddah,50-59,129
M,Tabuk,T18.2,Medina,40-49,6
M,Jeddah,R17,Makkah,00-17,4
F,Jeddah,O43.8,Jeddah,18-29,21
M,Riyadh,I21.9,Riyadh,80+,31
M,Qassim,K92.9,Qassim,70-79,3
F,Makkah,A87.1,Makkah,00-17,6
M,Asir,J12.0,Assir,00-17,13
F,Asir,P22.0,Assir,00-17,57
M,Makkah,J18.9,Makkah,30-39,6
F,Jeddah,E10.11,Jeddah,18-29,44
F,Asir,J96.01,Assir,80+,19
M,Riyadh,J18.9,Riyadh,50-59,95
F,Riyadh,R07.4,Riyadh,50-59,30
M,Baha,G93.1,Makkah,00-17,1
M,Makkah,S37.32,Jeddah,40-49,21
M,Jeddah,I24.9,Makkah,80+,2
F,Jeddah,I21.9,Makkah,80+,1
M,Hafer AlBatin,I50.9,Riyadh,80+,31
M,Jeddah,E13.15,Jeddah,00-17,77
F,Riyadh,I26.9,Riyadh,30-39,63
F,Riyadh,J96.00,Riyadh,60-69,32
F,Jouf,R05,Riyadh,00-17,32
F,Jeddah,G25.1,Makkah,00-17,1
M,Jeddah,I21.9,Jeddah,80+,43
M,Makkah,K92.0,Makkah,60-69,7
M,Jeddah,G00.9,Jeddah,18-29,20
F,Riyadh,O09.9,Riyadh,40-49,32
M,Jeddah,N17.9,Jeddah,30-39,42
F,Jouf,R10.0,Riyadh,00-17,31
F,Makkah,P72.1,Makkah,00-17,6
M,Jouf,T22.02,Riyadh,00-17,31
F,Asir,E87.1,Assir,60-69,8
F,Riyadh,N39.0,Riyadh,50-59,33
F,Jeddah,R52.0,Makkah,18-29,1
M,Asir,J20.9,Assir,00-17,158
F,Taif,R52.9,Taef,60-69,2
F,Riyadh,R05,Riyadh,80+,301
M,Riyadh,A09.9,Riyadh,00-17,94
M,Makkah,R07.3,Makkah,50-59,6
F,Makkah,D57.0,Makkah,40-49,6
M,Jeddah,P22.9,Makkah,00-17,2
F,Jeddah,A41.8,Makkah,70-79,7
F,Jeddah,A25.9,Jeddah,00-17,21
F,Northern Borders,S72.9,Riyadh,50-59,30
F,Jeddah,A41.9,Makkah,60-69,3
M,Medinah,E10.11,Medina,40-49,7
M,Riyadh,D57.1,Riyadh,30-39,125
M,Riyadh,Z50.9,Jeddah,70-79,1
M,Riyadh,Q43.6,Riyadh,60-69,35
M,Jeddah,A41.9,Jeddah,60-69,65
M,Qunfotha,I24.9,Makkah,80+,6
M,Jeddah,T51.1,Jeddah,30-39,19
F,Jazan,N18.9,Jazan,70-79,2
M,Eastern Region,Y65.3,East,00-17,17
F,Medinah,O62.9,Medina,30-39,12
M,Medinah,D44.1,Medina,00-17,6
M,Makkah,I24.9,Makkah,80+,12
F,Jeddah,E11.11,Makkah,18-29,4
M,Riyadh,E11.11,Riyadh,30-39,62
F,Makkah,A41.9,Makkah,80+,6
F,Riyadh,J45.9,Riyadh,50-59,93
F,Riyadh,I69.4,Riyadh,80+,5
M,Riyadh,C20,Riyadh,60-69,4
M,Jeddah,E11.11,Jeddah,18-29,22
M,Medinah,K92.2,Medina,70-79,7
M,Eastern Region,Q31.5,East,00-17,33
F,Jeddah,K56.6,Jeddah,30-39,19
F,Jeddah,E13.13,Makkah,18-29,1
M,Qassim,U80.3,Qassim,00-17,9
M,Bisha,M48.42,Riyadh,70-79,30
F,Riyadh,J15.9,Riyadh,50-59,31
F,Jeddah,Z93.0,Makkah,80+,1
M,Jeddah,V09.9,Jeddah,00-17,19
M,Makkah,P07.32,Makkah,00-17,12
M,Jeddah,J18.9,Jeddah,30-39,65
M,Qassim,E13.11,Qassim,00-17,3
F,Jeddah,J96.09,Jeddah,30-39,18
M,Hail,I51.9,Hail,00-17,2
F,Jeddah,P07.31,Makkah,30-39,1
M,Asir,I26.9,Assir,50-59,6
M,Riyadh,D47.2,Riyadh,60-69,30
M,Jeddah,A18.8,Makkah,18-29,1
M,Makkah,E87.1,Makkah,50-59,6
F,Jeddah,I64,Makkah,50-59,6
F,Makkah,J15.9,Makkah,70-79,6
F,Asir,R65.1,Assir,00-17,25
F,Asir,U82.3,Assir,50-59,6
M,Najran,J18.9,Assir,00-17,6
F,Jeddah,D05.9,Jeddah,70-79,22
F,Najran,T22.01,Najran,00-17,2
F,Asir,N17.9,Assir,00-17,18
M,Makkah,J18.0,Makkah,40-49,6
F,Jeddah,I74.4,Jeddah,50-59,19
F,Jouf,J96.09,Riyadh,40-49,31
F,Outside-KSA,I35.0,Makkah,60-69,1
F,Jeddah,I50.9,Makkah,70-79,2
M,Riyadh,Z50.9,Riyadh,40-49,15
F,Qassim,J15.9,Qassim,80+,4
M,Qassim,R57.2,Qassim,80+,12
M,Bisha,K85.9,Assir,00-17,6
M,Asir,V99,Assir,70-79,7
F,Riyadh,R65.1,Riyadh,60-69,32
F,Asir,J93.8,Assir,00-17,6
F,Medinah,F19.0,Medinah,18-29,1
F,Jeddah,D57.1,Makkah,00-17,1
M,Jeddah,E87.5,Makkah,60-69,1
F,Medinah,Q87.83,Medinah,00-17,1
M,Riyadh,G40.61,Riyadh,40-49,1
F,Jeddah,E16.1,Jeddah,18-29,21
F,Qunfotha,S72.9,Makkah,80+,6
F,Jeddah,I62.9,Makkah,80+,1
M,Tabuk,M48.42,Riyadh,00-17,31
F,Riyadh,Z50.9,Riyadh,70-79,5
M,Jazan,K80.40,Jazan,50-59,2
M,Asir,S11.81,Asir,30-39,1
F,Hafer AlBatin,N15.1,Hafer Albatin,50-59,2
M,Qassim,E11.12,Qassim,00-17,3
M,Jeddah,E27.8,Jeddah,70-79,1
M,Makkah,E09.40,Makkah,60-69,6
F,Bisha,Q21.12,Assir,18-29,7
F,Riyadh,E27.2,Riyadh,40-49,1
F,Jeddah,R05,Jeddah,80+,118
M,Medinah,J18.0,Medina,60-69,18
F,Jeddah,R65.1,Makkah,80+,2
M,Medinah,P71.1,Medinah,60-69,1
M,Medinah,E16.9,Medinah,00-17,1
F,Medinah,J18.9,Medinah,80+,6
M,Asir,S83.18,Assir,60-69,1
F,Medinah,O42.2,Medinah,30-39,2
M,Baha,J06.9,Najran,00-17,3
F,Jeddah,P01.1,Makkah,30-39,1
F,Riyadh,S82.5,Riyadh,18-29,31
M,Riyadh,I26.9,Riyadh,40-49,31
F,Qassim,E13.15,Qassim,50-59,2
F,Asir,N18.9,Assir,70-79,1
M,Medinah,J96.00,Medina,60-69,6
F,Riyadh,Z43.0,Riyadh,70-79,38
M,Qassim,T20.0,Qassim,00-17,4
M,Qassim,S05.9,Qassim,60-69,2
F,Asir,M43.56,Assir,60-69,6
M,Hafer AlBatin,R42,East,40-49,17
F,Jeddah,E11.11,Makkah,50-59,1
M,Makkah,J18.0,Jeddah,70-79,21
F,Asir,J15.9,Assir,70-79,6
F,Jeddah,N17.9,Jeddah,50-59,21
M,Jeddah,J96.09,Jeddah,80+,64
F,Jeddah,I74.1,Jeddah,70-79,18
F,Jeddah,E10.11,Makkah,18-29,2
M,Riyadh,R07.1,Riyadh,18-29,60
M,Makkah,N13.3,Jeddah,00-17,42
M,Jeddah,J96.09,Makkah,60-69,1
M,Jeddah,R57.2,Jeddah,60-69,105
F,Riyadh,J81,Riyadh,70-79,31
F,Jeddah,I64,Makkah,60-69,9
M,Jeddah,R05,Jeddah,80+,63
M,Riyadh,J15.9,Riyadh,80+,156
M,Jeddah,Z99.2,Makkah,60-69,1
M,Jeddah,K92.2,Jeddah,60-69,20
M,Jeddah,E11.11,Jeddah,00-17,106
F,Jeddah,O47.9,Jeddah,18-29,20
F,Riyadh,R07.1,Riyadh,40-49,60
F,Jeddah,I46.9,Jeddah,00-17,21
M,Jazan,E10.9,Assir,80+,6
M,Qassim,N18.9,Qassim,80+,5
F,Jeddah,O09.9,Makkah,40-49,2
F,Jeddah,D59.0,Jeddah,00-17,20
F,Jeddah,J18.9,Makkah,60-69,3
F,Qassim,A41.9,Qassim,18-29,2
M,Jeddah,R05,Jeddah,00-17,337
F,Jeddah,I46.9,Jeddah,80+,21
M,Medinah,N18.9,Medina,70-79,7
F,Riyadh,U82.3,Riyadh,50-59,62
M,Makkah,I50.0,Makkah,70-79,6
M,Jeddah,I26.9,Makkah,40-49,1
F,Jeddah,R05,Makkah,18-29,4
F,Jeddah,P22.9,Jeddah,00-17,58
M,Najran,M89.55,Riyadh,30-39,30
F,Jeddah,E13.11,Jeddah,18-29,80
M,Makkah,J18.1,Makkah,70-79,6
M,Jeddah,G41.9,Makkah,18-29,2
F,Makkah,J18.9,Makkah,70-79,67
M,Riyadh,Q39.0,Riyadh,80+,3
F,Jeddah,I26.9,Jeddah,70-79,40
M,Riyadh,J15.9,Riyadh,60-69,64
M,Jazan,R06.0,Jazan,70-79,2
F,Qassim,I26.9,Qassim,70-79,2
M,Riyadh,R17,Riyadh,50-59,63
F,Riyadh,O44.0,Riyadh,18-29,30
F,Jazan,M90.73,Jazan,00-17,2
M,Asir,K72.1,Asir,50-59,1
M,Eastern Region,I62.0,East,60-69,17
M,Najran,J18.9,Riyadh,00-17,32
M,Asir,E87.6,Assir,80+,7
F,Hafer AlBatin,I64,Riyadh,60-69,31
M,Tabuk,V99,Tabuk,00-17,2
M,Medinah,T22.01,Medina,00-17,6
F,Asir,A87.1,Assir,60-69,6
M,Asir,L95.9,Assir,30-39,6
M,Jazan,S02.65,Jazan,00-17,2
M,Qassim,U80.3,Qassim,50-59,6
M,Eastern Region,Z01.2,East,40-49,18
F,Riyadh,U88.2,Riyadh,00-17,30
F,Riyadh,I64,Riyadh,50-59,67
M,Medinah,O09.9,Medina,18-29,6
F,Medinah,P22.8,Medina,30-39,6
M,Jazan,E11.11,Jazan,50-59,2
F,Medinah,I50.9,Medinah,70-79,1
F,Makkah,I48.3,Makkah,50-59,6
F,Jazan,V99,Jazan,18-29,4
M,Qassim,S72.05,Qassim,60-69,2
M,Asir,H36,Assir,00-17,7
M,Asir,S72.05,Northern Borders,60-69,1
M,Makkah,J45.9,Medina,00-17,6
F,Medinah,E07.9,Medina,60-69,6
M,Jeddah,S72.9,Jeddah,40-49,22
M,Qassim,E11.65,Qassim,70-79,3
M,Jeddah,G91.0,Jeddah,00-17,20
F,Qurayyat,I26.9,Riyadh,60-69,31
M,Jeddah,J18.0,Jeddah,40-49,20
M,Riyadh,J15.9,Riyadh,00-17,162
F,Riyadh,N18.9,Riyadh,80+,31
F,Makkah,J96.09,Makkah,80+,6
F,Eastern Region,S73.00,Eastern Region,80+,1
M,Medinah,J21.0,Medinah,00-17,1
F,Asir,S83.18,Assir,30-39,1
F,Jeddah,E14.11,Jeddah,30-39,1
M,Jeddah,T21.00,Makkah,40-49,1
F,Jeddah,O43.1,Makkah,18-29,1
F,Eastern Region,Z50.9,East,40-49,3
M,Jouf,N13.3,Riyadh,00-17,33
F,Asir,Q90.9,Assir,00-17,13
F,Makkah,G04.8,Makkah,00-17,7
M,Qunfotha,J06.9,Makkah,40-49,6
F,Asir,Y00.03,Assir,18-29,1
F,Qassim,J96.01,Qassim,60-69,2
F,Qassim,E11.11,Qassim,70-79,2
M,Jeddah,G94.2,Jeddah,70-79,19
F,Medinah,O61.9,Medina,40-49,6
F,Medinah,O61.0,Medinah,18-29,1
F,Jeddah,J96.09,Makkah,50-59,3
M,Asir,S06.03,Assir,60-69,6
F,Qassim,R57.2,Qassim,00-17,1
M,Asir,A78,Assir,00-17,19
M,Riyadh,A99,Riyadh,30-39,32
F,Jeddah,E14.15,Northern Borders,40-49,1
M,Asir,A41.9,Asir,00-17,2
M,Medinah,K52.2,Medina,00-17,6
M,Qassim,N17.9,Qassim,70-79,4
M,Medinah,I67.9,Riyadh,60-69,1
M,Eastern Region,J18.0,East,00-17,18
M,Qurayyat,P94.2,Riyadh,00-17,30
F,Jazan,I69.4,Jazan,80+,2
M,Jeddah,I46.9,Makkah,50-59,1
M,Makkah,N18.9,Makkah,18-29,6
F,Riyadh,Z50.8,Riyadh,60-69,3
F,Riyadh,N20.0,Riyadh,30-39,32
M,Medinah,I24.9,Medinah,70-79,1
M,Medinah,I67.4,Medinah,80+,1
F,Medinah,I10,Medina,70-79,6
M,Asir,I64,Assir,40-49,18
M,Jeddah,R56.0,Jeddah,00-17,19
M,Riyadh,T22.02,Riyadh,40-49,32
M,Jeddah,I21.4,Makkah,50-59,2
F,Jeddah,J06.9,Jeddah,70-79,25
F,Jeddah,R57.2,Jeddah,70-79,20
F,Qassim,R52.9,Qassim,60-69,2
M,Riyadh,I21.9,Riyadh,30-39,33
M,Riyadh,Z93.0,Riyadh,30-39,4
M,Qassim,R57.9,Qassim,60-69,2
F,Jeddah,V99,Jeddah,18-29,21
M,Jeddah,J45.9,Makkah,70-79,1
F,Medinah,P28.49,Medina,00-17,6
M,Medinah,K04.7,Medinah,50-59,1
M,Jeddah,J96.00,Makkah,60-69,2
F,Riyadh,A09.9,Riyadh,18-29,60
M,Asir,S02.9,Assir,00-17,6
F,Riyadh,I61.9,Riyadh,18-29,32
M,Jazan,I64,Jazan,60-69,4
M,Medinah,R06.6,Medina,00-17,6
F,Jazan,Z50.9,Jeddah,70-79,1
M,Medinah,U80.4,Medinah,30-39,1
F,Asir,V99,Assir,30-39,7
F,Jeddah,S01.82,Jeddah,50-59,19
M,Eastern Region,N39.0,Eastern Region,60-69,1
F,Makkah,J39.9,Makkah,40-49,6
F,Makkah,R11,Makkah,00-17,18
F,Riyadh,E11.65,Riyadh,70-79,32
F,Jeddah,J44.1,Jeddah,80+,1
M,Jeddah,U80.3,Makkah,60-69,1
M,Eastern Region,A06.6,East,50-59,17
F,Riyadh,M17.9,Riyadh,70-79,1
M,Northern Borders,V99,Riyadh,00-17,30
M,Jeddah,E11.11,Jeddah,80+,44
F,Riyadh,K76.1,Riyadh,80+,30
M,Riyadh,K92.9,Riyadh,18-29,30
F,Qassim,J96.01,Qassim,80+,2
M,Riyadh,R05,Riyadh,40-49,265
M,Jeddah,R07.4,Makkah,30-39,1
F,Jeddah,I10,Makkah,50-59,2
M,Jeddah,A78,Jeddah,70-79,22
M,Medinah,J20.9,Medina,00-17,161
M,Makkah,R05,Makkah,18-29,6
M,Eastern Region,J20.9,East,00-17,17
F,Najran,K52.9,Najran,00-17,3
M,Makkah,I64,Makkah,60-69,24
F,Makkah,R05,Medina,18-29,6
F,Taif,R52.9,Jeddah,60-69,21
F,Riyadh,A78,Riyadh,00-17,91
M,Medinah,J45.9,Medina,00-17,171
M,Jeddah,I69.2,Jeddah,30-39,25
M,Riyadh,S06.8,Riyadh,00-17,35
F,Medinah,J18.9,Medina,80+,62
F,Jeddah,P22.9,Jeddah,18-29,26
F,Medinah,J18.9,Medina,00-17,186
F,Riyadh,J47,Riyadh,00-17,33
M,Riyadh,Z50.9,Riyadh,00-17,80
F,Makkah,I48.9,Makkah,80+,6
F,Asir,G40.61,Assir,00-17,7
M,Jeddah,J96.10,Jeddah,00-17,20
M,Riyadh,R63.8,Riyadh,00-17,31
F,Medinah,O48,Medina,30-39,6
M,Jazan,E13.15,Jazan,00-17,2
F,Makkah,I50.9,Makkah,80+,6
M,Jeddah,R65.1,Makkah,50-59,3
F,Riyadh,I48.9,Riyadh,80+,31
M,Jeddah,R17,Jeddah,00-17,79
M,Riyadh,J15.9,Riyadh,70-79,32
M,Riyadh,U80.3,Riyadh,60-69,7
F,Riyadh,J18.0,Riyadh,18-29,35
F,Makkah,S32.4,Makkah,18-29,6
M,Riyadh,Z01.1,Riyadh,60-69,30
M,Riyadh,I24.9,Riyadh,30-39,125
M,Qassim,I95.9,Qassim,80+,2
F,Qassim,J96.09,Qassim,40-49,2
M,Qassim,I21.9,Qassim,80+,5
M,Jeddah,S06.9,Makkah,70-79,1
F,Jeddah,J15.9,Makkah,30-39,1
F,Riyadh,Z50.8,Riyadh,00-17,30
F,Makkah,J80,Makkah,70-79,6
F,Riyadh,G80.4,Riyadh,00-17,5
F,Jeddah,G91.9,Makkah,18-29,1
M,Jeddah,N17.9,Makkah,18-29,1
F,Jeddah,A41.8,Makkah,60-69,1
F,Jouf,Q89.71,Riyadh,00-17,30
F,Riyadh,K80.00,Riyadh,00-17,30
F,Riyadh,P07.31,Riyadh,30-39,31
M,Baha,Z50.9,Riyadh,00-17,7
F,Medinah,J46,Medina,00-17,13
F,Jeddah,J47,Makkah,40-49,1
M,Jeddah,R05,Jeddah,18-29,119
F,Riyadh,K52.9,Riyadh,18-29,32
M,Jeddah,Z99.2,Jeddah,60-69,25
M,Riyadh,S06.02,Riyadh,60-69,32
M,Riyadh,J80,Riyadh,60-69,65
F,Jeddah,I81,Makkah,60-69,2
F,Jeddah,P58.1,Makkah,00-17,1
F,Jeddah,A41.9,Makkah,70-79,3
F,Jeddah,J18.9,Jeddah,00-17,318
M,Qassim,S06.03,Qassim,30-39,2
F,Asir,D18.02,Assir,18-29,6
F,Jeddah,I51.9,Jeddah,50-59,20
F,Asir,K92.9,Assir,18-29,17
M,Qunfotha,G04.2,Makkah,00-17,6
M,Baha,M05.88,Makkah,60-69,1
M,Hafer AlBatin,I24.9,Hafer Albatin,30-39,2
M,Jazan,D56.9,Assir,30-39,7
M,Najran,R29.2,Riyadh,00-17,30
F,Jeddah,R07.1,Makkah,50-59,1
M,Makkah,E11.11,Makkah,50-59,6
F,Riyadh,T21.09,Riyadh,00-17,30
F,Jeddah,U82.3,Jeddah,50-59,42
F,Medinah,I10,Medina,30-39,1
F,Jazan,S02.1,Jazan,00-17,2
M,Asir,K81.0,Assir,70-79,6
M,Jeddah,D69.6,Makkah,00-17,1
M,Jazan,Z50.9,Riyadh,40-49,2
M,Qassim,F19.5,Qassim,30-39,1
F,Riyadh,H35.6,Riyadh,40-49,31
M,Jazan,J21.9,Jazan,00-17,6
M,Jeddah,Z50.9,Jeddah,18-29,2
M,Baha,G80.9,Jeddah,00-17,1
M,Asir,J18.0,Assir,30-39,6
F,Asir,G93.2,Assir,40-49,6
M,Asir,M05.26,Assir,00-17,6
M,Medinah,J03.9,Medinah,00-17,2
M,Asir,A20.7,Asir,70-79,1
M,Eastern Region,D33.1,East,18-29,7
F,Makkah,G40.10,Makkah,00-17,6
M,Asir,P07.30,Assir,00-17,6
M,Asir,S62.52,Assir,40-49,1
M,Makkah,P36.0,Medina,00-17,6
F,Jeddah,P36.8,Makkah,00-17,1
M,Riyadh,S52.51,Riyadh,30-39,31
M,Riyadh,G40.60,Riyadh,50-59,1
F,Qunfotha,R05,Makkah,00-17,6
M,Asir,Y55.6,Assir,00-17,6
M,Riyadh,V99,Riyadh,60-69,32
F,Medinah,N17.9,Medina,70-79,6
F,Asir,Z23.7,Assir,00-17,6
M,Jeddah,S92.22,Makkah,50-59,1
M,Riyadh,T21.02,Riyadh,30-39,32
F,Jeddah,K56.3,Makkah,18-29,1
F,Qurayyat,K92.2,Riyadh,70-79,31
F,Eastern Region,J15.9,East,00-17,17
M,Eastern Region,U82.3,Eastern Region,80+,1
F,Qassim,J18.8,Qassim,50-59,2
F,Jazan,S83.10,Jazan,50-59,2
M,Jeddah,J81,Jeddah,60-69,43
F,Jazan,E13.15,Jazan,00-17,2
F,Riyadh,O09.9,Riyadh,18-29,32
F,Riyadh,J15.9,Riyadh,40-49,31
M,Jazan,S72.05,Jazan,00-17,4
M,Medinah,E11.11,Medinah,00-17,1
M,Riyadh,S72.9,Riyadh,00-17,30
M,Jazan,S73.00,Assir,18-29,6
M,Jeddah,N18.9,Makkah,50-59,2
M,Makkah,E13.15,Makkah,00-17,6
M,Medinah,R17,Medinah,40-49,1
F,Riyadh,S83.18,Riyadh,70-79,1
M,Medinah,O66.3,Medinah,30-39,1
F,Jeddah,J96.01,Jeddah,70-79,45
F,Najran,J18.9,Najran,00-17,30
M,Qunfotha,S52.51,Jeddah,18-29,19
M,Riyadh,M47.07,Riyadh,18-29,31
M,Asir,K58.0,Assir,00-17,6
F,Jeddah,J44.9,Jeddah,50-59,1
F,Jeddah,R57.2,Jeddah,40-49,1
F,Asir,I43.8,Assir,00-17,6
M,Medinah,N17.9,Medina,80+,7
M,Taif,V99,Taef,00-17,2
M,Medinah,N17.9,Medina,00-17,6
F,Riyadh,O82,Riyadh,40-49,32
M,Medinah,U80.3,Medina,40-49,12
M,Medinah,E13.15,Medinah,30-39,1
F,Medinah,J18.9,Medinah,60-69,2
F,Qassim,E11.11,Qassim,40-49,3
M,Riyadh,S12.7,Riyadh,18-29,31
M,Riyadh,V09.2,Riyadh,18-29,1
M,Medinah,E13.11,Medinah,50-59,1
F,Riyadh,S82.21,Riyadh,50-59,35
M,Riyadh,S72.9,Riyadh,80+,61
F,Riyadh,P91.60,Riyadh,00-17,31
F,Jouf,W84,Riyadh,00-17,30
M,Riyadh,M47.19,Riyadh,40-49,33
M,Asir,N17.9,Asir,60-69,1
M,Jeddah,E14.11,Jeddah,30-39,1
M,Tabuk,E11.11,Medinah,70-79,1
M,Jeddah,J96.01,Makkah,18-29,1
M,Makkah,M48.42,Makkah,60-69,6
M,Asir,J18.0,Assir,60-69,6
F,Qassim,J06.9,Qassim,40-49,2
F,Hassa,U82.3,Ihsaa,70-79,1
F,Medinah,O09.9,Medinah,30-39,1
F,Medinah,O42.9,Medinah,40-49,1
M,Jeddah,S87.8,Jeddah,00-17,21
M,Jouf,N17.9,Makkah,50-59,6
F,Jeddah,S82.81,Makkah,70-79,1
F,Jeddah,S73.02,Makkah,60-69,1
M,Qassim,J45.9,Qassim,30-39,2
F,Medinah,K92.9,Medinah,80+,2
M,Medinah,Q39.15,Medina,18-29,6
F,Asir,I42.0,Assir,00-17,7
M,Asir,Q71.41,Asir,00-17,1
F,Makkah,R56.0,Makkah,00-17,6
M,Riyadh,J15.9,Riyadh,18-29,32
F,Makkah,I50.0,Makkah,50-59,6
M,Jeddah,I69.4,Makkah,80+,1
F,Riyadh,Z96.62,Riyadh,50-59,1
F,Medinah,O00.0,Medina,00-17,8
M,Asir,S06.03,Assir,80+,6
F,Jeddah,J80,Makkah,60-69,1
F,Jeddah,Z93.1,Makkah,80+,1
F,Tabuk,S72.05,Jeddah,70-79,22
M,Qassim,S06.01,Qassim,60-69,3
F,Qassim,R57.9,Qassim,80+,3
F,Riyadh,E55.9,Riyadh,30-39,1
F,Asir,J39.9,Assir,80+,7
M,Makkah,R10.0,Makkah,40-49,6
F,Asir,R10.0,Assir,00-17,24
F,Asir,R05,Assir,00-17,241
F,Asir,R05,Assir,80+,43
F,Qunfotha,I64,Makkah,80+,6
M,Riyadh,M54.5,Riyadh,60-69,30
M,Jeddah,I64,Jeddah,70-79,236
M,Riyadh,K59.0,Riyadh,30-39,3
F,Riyadh,A09.9,Riyadh,00-17,285
M,Riyadh,R05,Riyadh,80+,296
M,Jeddah,J20.9,Jeddah,00-17,99
F,Jeddah,I10,Jeddah,50-59,40
F,Tabuk,A78,Medina,80+,7
F,Medinah,J45.9,Medina,00-17,127
M,Riyadh,R05,Riyadh,00-17,942
M,Bisha,R05,Riyadh,18-29,32
F,Jeddah,I50.9,Jeddah,70-79,43
